tconst,averageRating,numVotes
tt0226430,5.7,934
tt0226498,6.0,59
tt0226591,7.6,58
tt0226708,5.5,264
tt0226851,6.6,15
tt0226935,4.9,2216
tt0227005,6.3,19366
tt0227189,3.3,183
tt0227194,5.5,5684
tt0227200,3.3,425
tt0227224,6.0,169
tt0227277,7.0,6851
tt0227445,6.8,134126
tt0227458,6.1,817
tt0227538,5.6,127359
tt0227671,5.3,461
tt0227692,6.7,20
tt0227984,6.3,50955
tt0228004,5.3,236
tt0228054,5.6,194
tt0228121,3.1,161
tt0228180,3.9,447
tt0228214,7.8,11
tt0228242,6.9,1856
tt0228277,6.1,815
tt0228301,5.3,602
tt0228333,4.9,57971
tt0228488,6.2,2072
tt0228525,7.3,29
tt0228536,5.9,610
tt0228687,7.3,6877
tt0228690,2.8,180
tt0228720,4.3,314
tt0228750,6.3,58911
tt0228786,6.9,65647
tt0228871,5.8,1322
tt0228878,3.4,120
tt0228889,6.9,51
tt0228891,4.8,550
tt0228906,5.8,18
tt0228977,7.3,65
